Gene	IID	a	b	c	reps	outlier
PRY	25	2.14	2.06	2.08	3	2.14
HSFY	26	2.235701906	2.589254766	2.490467938	3	2.235701906
VCY	26	2.096505824	2.371048253	2.221297837	3	2.371048253
BPY	26	4.11	4.62	4.45	3	4.11
PRY	26	2.15	2.01	1.99	3	2.15
RBMY	26	14.19410745	15.0779896	15.02599653	3	14.19410745
XKRY	26	2.506065858	2.506065858	2.370883882	3	2.370883882
CDY	26	4.54	4.393414211	4.440207972	3	4.54
TSPY	26	32.49566724	32.80762565	33.48353553	3	33.48353553
DAZ	26	4.12	4.19	4.22	3	4.12
CDY	27	4.569468268	3.519725557	4.507718696	3	3.519725557
VCY	27	2.442857143	3	3.142857143	3	2.442857143
PRY	27	2.36	2.08	2.04	3	2.36
BPY	27	3.13	3.59	3.4	3	3.13
DAZ	27	4.51	3.97	4.1	3	4.51
XKRY	27	2.09	1.86	1.94	3	2.09
HSFY	27	2.39516129	2.177419355	2.225806452	3	2.39516129
RBMY	27	18.02419355	19.71774194	19.11290323	3	18.02419355
TSPY	27	23	22.28	23.16	3	22.28
XKRY	28	1.81655481	1.92393736	1.805369128	3	1.92393736
CDY	28	4.835414302	5.141884222	4.869466515	3	5.141884222
PRY	28	2.72	2.56	2.64	3	2.72
HSFY	28	2.502837684	2.376844495	2.397275823	3	2.502837684
RBMY	28	12.7014756	13.07604994	12.66742338	3	13.07604994
TSPY	28	34.8	33.75	34.39	3	33.75
VCY	28	3.013215859	3.066079295	3.013215859	3	3.066079295
DAZ	28	5.47	NA	5.52	2	NA
BPY	28	3.54	3.51	3.51	3	3.54
RBMY	29	9.66	10.61	10.78	3	9.66
VCY	29	2.293532338	2.2039801	2.388059701	3	2.388059701
XKRY	29	1.68	1.74	NA	2	NA
BPY	29	NA	2.76	2.69	2	NA
CDY	29	3.61	3.7	NA	2	NA
DAZ	29	4.35	4.23	4.3	3	4.23
PRY	29	2.01	2	2.05	3	2.05
HSFY	29	1.67	NA	1.7	2	NA
TSPY	29	21.88	21.86	22.13	3	22.13
CDY	30	3.070362473	5.740938166	5.820895522	3	3.070362473
HSFY	30	2.126865672	2.638592751	2.878464819	3	2.126865672
DAZ	30	4.28	5.44	5.58	3	4.28
RBMY	30	9.786780384	10.82622601	10.82622601	3	9.786780384
XKRY	30	2.53	2.69	2.69	3	2.53
VCY	30	2.178362573	2.266081871	2.236842105	3	2.178362573
BPY	30	8.506616257	8.336483932	8.506616257	3	8.336483932
TSPY	30	35.47	34.85	35.61	3	34.85
PRY	30	2.34	2.35	2.35	3	2.34
HSFY	31	1.857324841	2.250955414	2.101910828	3	1.857324841
CDY	31	4.433121019	3.936305732	4.356687898	3	3.936305732
VCY	31	2.996178344	2.667515924	2.927388535	3	2.667515924
BPY	31	3.515923567	3.324840764	3.412738854	3	3.515923567
DAZ	31	4.36	NA	4.24	2	NA
XKRY	31	2.151592357	2.10955414	2.082802548	3	2.151592357
TSPY	31	21.97452229	21.32484076	21.82165605	3	21.32484076
